model,cohort,z score correction,balanced acc,auc,recall_pos,recall_neg
CNN,AUGSBURG,off,0.658,0.673,0.508,0.808
CNN,SWISS,off,0.614,0.707,0.587,0.640
CNN,POOLED,off,0.636,0.690,0.548,0.724
CNN,AUGSBURG,on,0.654,0.689,0.608,0.700
CNN,SWISS,on,0.621,0.704,0.574,0.668
CNN,POOLED,on,0.638,0.696,0.591,0.684
A,AUGSBURG,off,0.635,0.627,0.300,0.969
A,SWISS,off,0.565,0.554,0.441,0.688
A,POOLED,off,0.600,0.591,0.371,0.829
A,AUGSBURG,on,0.637,0.669,0.467,0.808
A,SWISS,on,0.591,0.608,0.433,0.748
A,POOLED,on,0.614,0.638,0.450,0.778
B,AUGSBURG,off,0.647,0.656,0.333,0.962
B,SWISS,off,0.604,0.558,0.344,0.864
B,POOLED,off,0.626,0.607,0.338,0.913
B,AUGSBURG,on,0.680,0.674,0.375,0.985
B,SWISS,on,0.596,0.590,0.356,0.836
B,POOLED,on,0.638,0.632,0.366,0.910
C,AUGSBURG,off,0.711,0.780,0.575,0.846
C,SWISS,off,0.502,0.510,0.387,0.616
C,POOLED,off,0.606,0.645,0.481,0.731
C,AUGSBURG,on,0.750,0.778,0.708,0.792
C,SWISS,on,0.516,0.511,0.400,0.632
C,POOLED,on,0.633,0.645,0.554,0.712
